Address
Bk0	Bk1	Bk2	Bk3	Bank	Data	Description	Value
0				ErrorGroup	Cks_ErrorGroup_L	Checksum for bank "ErrorGroup"	0xFF
1				ErrorGroup	Cks_ErrorGroup_H	Checksum for bank "ErrorGroup"	0xFF
2				ErrorGroup	EEPErrorTable[0]	Table d'erreur EEP	0x00
3				ErrorGroup	EEPErrorTable[1]	Table d'erreur EEP	0x00
4				ErrorGroup	EEPErrorTable[2]	Table d'erreur EEP	0x00
5				ErrorGroup	EEPErrorTable[3]	Table d'erreur EEP	0x00
6				ErrorGroup	EEPErrorTable[4]	Table d'erreur EEP	0x00
7				ErrorGroup	EEPErrorTable[5]	Table d'erreur EEP	0x00
8				ErrorGroup	EEPErrorTable[6]	Table d'erreur EEP	0x00
9				ErrorGroup	EEPErrorTable[7]	Table d'erreur EEP	0x00
10				ErrorGroup	EEPErrorTable[8]	Table d'erreur EEP	0x00
11				ErrorGroup	EEPErrorTable[9]	Table d'erreur EEP	0x00
12				ErrorGroup	EEPErrorTable[10]	Table d'erreur EEP	0x00
13				ErrorGroup	EEPErrorTable[11]	Table d'erreur EEP	0x00
14				ErrorGroup	EEPErrorTable[12]	Table d'erreur EEP	0x00
15				ErrorGroup	EEPErrorTable[13]	Table d'erreur EEP	0x00
16				ErrorGroup	EEPErrorTable[14]	Table d'erreur EEP	0x00
17				ErrorGroup	EEPErrorTable[15]	Table d'erreur EEP	0x00
18				ErrorGroup	EEPErrorTable[16]	Table d'erreur EEP	0x00
19				ErrorGroup	EEPErrorTable[17]	Table d'erreur EEP	0x00
20				ErrorGroup	EEPErrorTable[18]	Table d'erreur EEP	0x00
21				ErrorGroup	EEPErrorTable[19]	Table d'erreur EEP	0x00
22				ErrorGroup	EEPErrorTable[20]	Table d'erreur EEP	0x00
23				ErrorGroup	EEPErrorTable[21]	Table d'erreur EEP	0x00
24				GroupTraceability	Cks_GroupTraceability_L	Checksum for bank "GroupTraceability"	0x37
25				GroupTraceability	Cks_GroupTraceability_H	Checksum for bank "GroupTraceability"	0xAB
26				GroupTraceability	EEP_ECUPartNumber[0]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x03
27				GroupTraceability	EEP_ECUPartNumber[1]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x82
28				GroupTraceability	EEP_ECUPartNumber[2]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x00
29				GroupTraceability	EEP_ECUPartNumber[3]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x22
30				GroupTraceability	EEP_ECUPartNumber[4]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x95
31				GroupTraceability	EEP_ECUPartNumber[5]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x00
32				GroupTraceability	EEP_ECUPartNumber[6]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x00
33				GroupTraceability	EEP_ECUPartNumber[7]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x00
34				GroupTraceability	EEP_ECUPartNumber[8]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x00
35				GroupTraceability	EEP_ECUPartNumber[9]	Product ID of ECU defined by JCI,EEP_CustomerReference. (en Text)	0x00
36				GroupTraceability	EEP_SystemSupplierID[0]	The ID of JCI defined by customer.EEP_AssemblyPlantNumber (en Text)	0x00
37				GroupTraceability	EEP_SystemSupplierID[1]	The ID of JCI defined by customer.EEP_AssemblyPlantNumber (en Text)	0x00
38				GroupTraceability	EEP_SystemSupplierID[2]	The ID of JCI defined by customer.EEP_AssemblyPlantNumber (en Text)	0x00
39				GroupTraceability	EEP_SystemSupplierID[3]	The ID of JCI defined by customer.EEP_AssemblyPlantNumber (en Text)	0x71
40				GroupTraceability	EEP_SystemSupplierID[4]	The ID of JCI defined by customer.EEP_AssemblyPlantNumber (en Text)	0x20
41				GroupTraceability	EEP_ECUManufacturingDate[0]	The date of the ECU manufactured by plant (en Text)	0x20
42				GroupTraceability	EEP_ECUManufacturingDate[1]	The date of the ECU manufactured by plant (en Text)	0x00
43				GroupTraceability	EEP_ECUManufacturingDate[2]	The date of the ECU manufactured by plant (en Text)	0x01
44				GroupTraceability	EEP_ECUManufacturingDate[3]	The date of the ECU manufactured by plant (en Text)	0x01
45				GroupTraceability	EEP_ECUManufacturingDate[4]	The date of the ECU manufactured by plant (en Text)	0x00
46				GroupTraceability	EEP_ECUManufacturingDate[5]	The date of the ECU manufactured by plant (en Text)	0x00
47				GroupTraceability	EEP_ECUSerialNumber[0]	The ID of each ECU. (en Text)	0x31
48				GroupTraceability	EEP_ECUSerialNumber[1]	The ID of each ECU. (en Text)	0x32
49				GroupTraceability	EEP_ECUSerialNumber[2]	The ID of each ECU. (en Text)	0x33
50				GroupTraceability	EEP_ECUSerialNumber[3]	The ID of each ECU. (en Text)	0x34
